Step,Time,Velocity (m/s),Ay (g),Radius (m),Body slip
0,0.17918212369603834,13.311777906230759,-1.4395489440671445,14.027611155656498,0
1,0.3340174169480914,13.311777906230759,-1.4395489440671445,10,0
2,0.4709555457818493,13.311777906230759,-1.4395489440671445,10,0
3,0.6043133143362899,13.311777906230759,-1.4395489440671445,10,0
4,0.776112225167248,13.311777906230759,-1.4395489440671445,10,0
5,0.9611566080489652,13.311777906230759,-1.4395489440671445,19.321305048248835,0
6,1.1214442002007317,13.311777906230759,-1.4395489440671445,19.632728940337614,0
7,1.2641148485145244,13.311777906230759,-1.4395489440671445,21.44056067819309,0
8,1.3937578808210853,13.311777906230759,-1.4395489440671445,25.09712480997213,0
9,1.512531256951732,13.311777906230759,-1.4395489440671445,31.727665745885048,0
10,1.6241197851801354,13.311777906230759,-1.4395489440671445,45.18407671222478,0
11,1.7307531943413053,13.311777906230759,-1.4395489440671445,87.262140535513,0
12,1.830452014968614,13.311777906230759,-1.4395489440671445,646.6516653327631,0
13,1.919539693541543,13.311777906230759,-1.4395489440671445,52.51843121452153,0
14,2.0035720776427723,13.311777906230759,-1.4395489440671445,22.318232531647965,0
15,2.107221522327012,13.311777906230759,-1.4395489440671445,11.846352443823868,0
16,2.20971851617489,13.311777906230759,-1.4395489440671445,10,0
17,2.2689318240349365,13.311777906230759,-1.4395489440671445,10,0
18,2.3436139826474367,13.311777906230759,-1.4395489440671445,10,0
19,2.4612904907243838,13.311777906230759,-1.4395489440671445,10,0
20,2.6147667461899937,13.311777906230759,-1.4395489440671445,23.29057104922736,0
21,2.7931608979518208,13.311777906230759,-1.4395489440671445,48.093721430832446,0
22,2.9676178902243544,13.311777906230759,-1.4395489440671445,75.13575574306311,0
23,3.128829112396404,13.311777906230759,-1.4395489440671445,94.58267459332914,0
24,3.2812481543759873,13.311777906230759,-1.4395489440671445,98.57709373773449,0
25,3.4258436598132844,13.311777906230759,-1.4395489440671445,85.95444862554949,0
26,3.5499041208058375,13.311777906230759,-1.4395489440671445,62.51197816541841,0
27,3.6494845975191232,13.311777906230759,-1.4395489440671445,37.02954949017428,0
28,3.7403164488612646,13.311777906230759,-1.4395489440671445,16.742574638088797,0
29,3.854322914710113,13.311777906230759,-1.4395489440671445,10,0
30,4.017276290289261,13.311777906230759,-1.686467367002603,12.476473204998932,0
31,4.158785624203726,13.311777906230759,-1.686467367002603,18.824863064602,0
32,4.273631125008703,13.311777906230759,-1.686467367002603,74.25320134653576,0
33,4.384363818098087,13.311777906230759,-1.686467367002603,10,0
34,4.501223053649352,13.311777906230759,-1.686467367002603,10,0
35,4.658151753778809,13.311777906230759,-1.686467367002603,10,0
36,4.885370353599112,13.311777906230759,-1.686467367002603,10.893526407536669,0
37,5.018504872126967,13.311777906230759,-1.686467367002603,10,0
38,5.155255015402549,13.311777906230759,-1.686467367002603,76.1854246787399,0
39,5.303742891079555,13.311777906230759,-1.4395489440671445,10,0
40,5.468740229224407,13.311777906230759,-1.4395489440671445,10,0
41,5.623889623060858,13.311777906230759,-1.4395489440671445,10,0
42,5.794610494437248,13.311777906230759,-1.4395489440671445,14.269671461716008,0
43,5.956610291919231,13.311777906230759,-1.4395489440671445,23.399845393863163,0
44,6.095492514263609,13.311777906230759,-1.4395489440671445,27.67253122215585,0
45,6.204537550224012,13.311777906230759,-1.4395489440671445,21.901560413134852,0
46,6.302560039820387,13.311777906230759,-1.4395489440671445,10,0
47,6.38788964334667,13.311777906230759,-1.4395489440671445,10,0
48,6.464608514790207,13.311777906230759,-1.4395489440671445,10,0
49,6.595228062689811,13.311777906230759,-1.4395489440671445,10,0
50,6.817078612764763,13.311777906230759,-0.9349032334034268,135.11666396619088,0
51,7.00467069409534,13.311777906230759,-0.9349032334034268,96.61074698525033,0
52,7.117015304856944,13.311777906230759,-0.9349032334034268,63.65340315958612,0
53,7.213983318881027,13.311777906230759,-0.9349032334034268,15.264699433645122,0
54,7.320625095710486,13.311777906230759,-0.9349032334034268,10,0
55,7.4467796258420655,13.4804483391813,-0.9349032334034268,10.593667593291737,0
56,7.6076529058296885,13.64703425018998,-0.9349032334034268,43.07783605439922,0
57,7.7354473239511545,13.81161106556295,-0.9349032334034268,294.9690452502538,0
58,7.8120507376041015,13.974249769733738,-0.9349032334034268,10,0
59,7.895987303632035,14.135017263074918,-0.9349032334034268,10,0
60,8.000314971310765,14.293976683482748,-1.0608560580292277,10,0
61,8.131065991458168,14.435770104191516,-1.0608560580292277,10,0
62,8.290707926469523,14.576184259750237,-1.0608560580292277,10.708399526532633,0
63,8.471156716643018,14.715258633381596,-1.0608560580292277,16.329495333246864,0
64,8.65991917790873,14.853030859741478,-1.0608560580292277,22.669767470095586,0
65,8.853516390819697,14.989536843863913,-1.0608560580292277,29.454372897408334,0
66,9.018857213167585,15.124810870443133,-1.0608560580292277,36.606253817952094,0
67,9.161265584081551,15.258885704395187,-1.0608560580292277,53.071235599842915,0
68,9.285443622379796,15.391792683534847,-1.0608560580292277,43.03199931185877,0
69,9.395774832559006,15.523561804110482,-1.0608560580292277,34.91259478505943,0
70,9.495469801680159,15.654221799858304,-1.1650855617445848,28.449182131357695,0
71,9.596544360242074,15.772805501129566,-1.1650855617445848,23.40461665106811,0
72,9.70026223950482,15.890504290102541,-1.1650855617445848,19.569572079609102,0
73,9.806162591787277,16.007337686544613,-1.1650855617445848,16.76416149371605,0
74,9.913306188768463,16.12332450297939,-1.1650855617445848,14.83991721184116,0
75,10.020912894115046,16.238482880050086,-1.1650855617445848,13.681768755567903,0
76,10.1283312445441,16.352830319641424,-1.1650855617445848,13.209430384872524,0
77,10.23552721295438,16.466383715931315,-1.1650855617445848,13.377540410340632,0
78,10.343949376470984,16.57915938452828,-1.1650855617445848,14.174146472489653,0
79,10.492282654767253,16.691173089836923,-1.1650855617445848,15.617685093861821,0
80,10.656227870186983,16.802440070781397,-1.1467050690325271,20.388673837168632,0
81,10.800438003758133,16.910171815120442,-1.1467050690325271,16.88276222037773,0
82,10.942892231340425,17.017221550581848,-1.1467050690325271,14.956232739710368,0
83,11.08194220608471,17.12360206808955,-1.1467050690325271,14.327735482009254,0
84,11.217747104122394,17.229325763679036,-1.1467050690325271,14.840607781222378,0
85,11.350028110936952,17.33440465535715,-1.1467050690325271,16.451806766482683,0
86,11.476778891215087,17.438850399047556,-1.1467050690325271,19.230077641228895,0
87,11.597348209748363,17.54267430368171,-1.1467050690325271,23.388778606545685,0
88,11.711550017682557,17.645887345490678,-1.1467050690325271,29.41063756845013,0
89,11.82189068989418,17.748500181548906,-1.1467050690325271,38.441588880806236,0
90,11.930166255966645,17.85052316261725,-1.0237520134690854,53.7185837997243,0
91,12.033780618137488,17.951922719527033,-1.0237520134690854,88.24032400572082,0
92,12.128322034937908,18.05275273958536,-1.0237520134690854,294.14951129061944,0
93,12.21362647561347,18.153022713183134,-1.0237520134690854,155.98746603730874,0
94,12.289785269501888,18.252741870033628,-1.0237520134690854,49.40877586246217,0
95,12.36285866258206,18.351919189087955,-1.0237520134690854,23.733648284307137,0
96,12.450996969777329,18.45056340797079,-1.0237520134690854,12.496740401786107,0
97,12.634214144864558,18.54868303196447,-1.0237520134690854,10,0
98,12.830805839737767,18.64628634256759,-1.0237520134690854,49.34843001621137,0
99,13.012296261384694,18.743381405652464,-1.0237520134690854,46.64958912620121,0
100,13.166155786878065,18.839976079244224,-0.8007671972587216,44.49419145653829,0
101,13.300303866149934,18.839976079244224,-0.8007671972587216,42.83001456364532,0
102,13.42050993941725,18.839976079244224,-0.8007671972587216,41.61163735281484,0
103,13.532913746452568,18.839976079244224,-0.8007671972587216,40.80020736204947,0
104,13.64128573129512,18.839976079244224,-0.8007671972587216,40.36341215268394,0
105,13.744738717907074,18.839976079244224,-0.8007671972587216,40.27581649388608,0
106,13.840866630650883,18.839976079244224,-0.8007671972587216,40.51982195344558,0
107,13.930527197824507,18.756200061109816,-0.39489997170808216,41.08767643369191,0
108,14.014475319928126,18.572100632690127,-0.39489997170808216,41.98528950274757,0
109,14.093234110784056,18.386157920815382,-0.39489997170808216,43.239280110067064,0
110,14.167923510958236,18.203840790233883,-0.042773615507520735,44.910147566816796,0
111,14.239334441680125,18.019679129862546,-0.042773615507520735,47.117913113205724,0
112,14.307325311584158,17.83361579630515,-0.042773615507520735,50.09556818195712,0
113,14.371622794775451,17.645590633278484,-0.042773615507520735,54.31214272416189,0
114,14.45683345266085,17.455540244411402,-0.042773615507520735,60.79939737189273,0
115,14.563847201209514,17.263397743529136,-0.042773615507520735,24.64270650264512,0
116,14.669445969355552,17.069092479634282,-0.042773615507520735,24.564014577356563,0
117,14.773841618602843,16.872549733378424,-0.042773615507520735,24.441524594835432,0
118,14.87731454034581,16.67369038132678,-0.042773615507520735,24.22227523528256,0
119,14.980201589596868,16.472430523737835,-0.042773615507520735,23.864932590717498,0
120,15.082880930868383,16.30059242364269,0.4173563712205449,23.34389302421263,0
121,15.185754396278172,16.12692343145664,0.4173563712205449,22.65248527751037,0
122,15.289228403376358,15.951363746288678,0.4173563712205449,21.804451462101145,0
123,15.393694996190883,15.7738502392016,0.4173563712205449,20.833180184838884,0
124,15.499699658834382,15.59431618799324,0.4173563712205449,19.78866589114201,0
125,15.60764341515368,15.412690984168067,0.4173563712205449,18.732735974569277,0
126,15.717804713167267,15.22889980844983,0.4173563712205449,17.733535668524883,0
127,15.830392028130264,15.042863270606128,0.4173563712205449,16.860440627380694,0
128,15.945541085117833,14.854497008667057,0.4173563712205449,16.180429150313554,0
129,16.094018976762317,14.663711241798447,0.4173563712205449,15.75655179599476,0
130,16.24252869003882,14.534177917826755,0.8093629519079121,20.227600798308753,0
131,16.383035898809716,14.403479722318478,0.8093629519079121,18.511479988550608,0
132,16.51476785232478,14.271584651868071,0.8093629519079121,17.79003228916585,0
133,16.63984564513311,14.13845921024045,0.8093629519079121,17.947114768601274,0
134,16.760316873097768,14.004068309024694,0.8093629519079121,18.915694688678176,0
135,16.87643608540872,13.868375159622214,0.8093629519079121,20.66982596520829,0
136,16.99012191993505,13.731341155627268,0.8093629519079121,23.220169464513123,0
137,17.103161825137093,13.592925744534174,0.8093629519079121,26.618179506763244,0
138,17.21397159334635,13.453086287563039,0.8093629519079121,30.977363141514488,0
139,17.3186528639791,13.311777906230759,0.8093629519079121,36.52970329904459,0
140,17.417151257379608,13.311777906230759,1.4395489440671445,43.765646144013964,0
141,17.50946712389026,13.311777906230759,1.4395489440671445,53.81322403864696,0
142,17.595411833272177,13.311777906230759,1.4395489440671445,69.68805096216474,0
143,17.674706592067494,13.311777906230759,1.4395489440671445,102.16814148343065,0
144,17.747891032347155,13.311777906230759,1.4395489440671445,232.52586910843237,0
145,17.815101848764975,13.311777906230759,1.4395489440671445,313.871764601,0
146,17.887267207749126,13.311777906230759,1.4395489440671445,67.51616737454138,0
147,17.97010992729024,13.311777906230759,1.4395489440671445,33.78622690854893,0
148,18.058206841221676,13.311777906230759,1.4395489440671445,45.59007031140905,0
149,18.149048797479878,13.311777906230759,1.4395489440671445,55.341727559402074,0
150,18.24070715669358,13.311777906230759,1.4395489440671445,61.26704336410288,0
151,18.331490753092428,13.311777906230759,1.4395489440671445,62.457713995043285,0
152,18.419898934542125,13.311777906230759,1.4395489440671445,59.0373805872221,0
153,18.504604443496543,13.311777906230759,1.4395489440671445,51.97595297287172,0
154,18.58490198680912,13.311777906230759,1.4395489440671445,42.70487435711368,0
155,18.66485307174351,13.311777906230759,1.4395489440671445,32.7213964451217,0
156,18.753182951830393,13.311777906230759,1.4395489440671445,23.299745019660293,0
157,18.871384346923573,13.311777906230759,1.4395489440671445,15.337464775664248,0
158,19.016449227833267,13.311777906230759,1.4395489440671445,10,0
159,19.166902490750463,13.311777906230759,1.4395489440671445,10,0
160,19.321864490263327,13.311777906230759,1.4395489440671445,14.024239014108941,0
161,19.450323190668477,13.311777906230759,1.4395489440671445,29.056842398426294,0
162,19.567233728264995,13.311777906230759,1.4395489440671445,10,0
163,19.711503666071305,13.311777906230759,1.4395489440671445,16.43468075787937,0
164,19.86220655988174,13.311777906230759,1.4395489440671445,36.65126314779548,0
165,20.006500066609373,13.311777906230759,1.4395489440671445,63.22455400864305,0
166,20.137965455624254,13.311777906230759,1.4395489440671445,89.53375538662065,0
167,20.255194305260147,13.311777906230759,1.4395489440671445,104.44987317635548,0
168,20.354317139927723,13.311777906230759,1.4395489440671445,95.1893215039274,0
169,20.43074400356916,13.311777906230759,1.4395489440671445,58.68475829278579,0
170,20.62521299207736,13.311777906230759,1.4395489440671445,10,0
171,20.797616098710684,13.311777906230759,1.4395489440671445,10,0
172,20.939862687744736,13.311777906230759,1.4395489440671445,46.62583355700859,0
173,21.044195872278323,13.311777906230759,1.4395489440671445,10,0
174,21.16705411865032,13.311777906230759,1.4395489440671445,10,0
175,21.329945305905596,13.311777906230759,1.4395489440671445,10,0
176,21.479306959405157,13.311777906230759,1.4395489440671445,28.091921002220683,0
177,21.61713031166736,13.311777906230759,1.4395489440671445,29.21426784094127,0
178,21.742368994471587,13.311777906230759,1.4395489440671445,30.90357197987851,0
179,21.858477220934045,13.311777906230759,1.4395489440671445,33.191657991162536,0
180,21.967892100938204,13.311777906230759,1.7624964649166834,36.130767259379645,0
181,22.074750971273165,13.311777906230759,1.7624964649166834,39.799336182957816,0
182,22.182096140783347,13.311777906230759,1.7624964649166834,44.31207559421811,0
183,22.288971217694584,13.311777906230759,1.7624964649166834,49.837278905212784,0
