r,AYP
10.0,1.502996044652711
12.006543285770087,1.5295902880385348
14.201322767510613,1.5575999809101437
16.451806766482683,1.5859174695467828
19.177475537214065,1.620154833384677
21.51625986717437,1.6496692081531508
24.64270650264512,1.6894474928073313
29.454372897408334,1.7514496608289867
36.04292223188218,1.8375735810075566
40.045137830669276,1.8901967944514462
45.629557553907,1.9632764480164107
53.071235599842915,2.0435769755956152
60.77410211168898,2.109850615922726
71.78366993171846,2.171261181807717
85.95444862554949,2.1924135447246367
104.11617061612206,2.145715105934327
135.07196112225773,1.9721843732041664
187.18232880069866,3.999999997666823
314.9439831511665,3.999898167426158
754.2007627277404,1.9732576572136546
